zone,inverter_no,inverter_id,string_no,string_id,modules_per_string,inverter_string_count,modules_on_inverter,inverter_capacity_kwp,cable_cross_section,zone_total_strings,zone_total_modules,zone_total_capacity_kwp,page,source_pdf
T01,7,T01-INV07,2,T01-INV07-S02,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,3,T01-INV07-S03,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,4,T01-INV07-S04,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,5,T01-INV07-S05,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,6,T01-INV07-S06,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,7,T01-INV07-S07,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,8,T01-INV07-S08,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,9,T01-INV07-S09,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,10,T01-INV07-S10,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,11,T01-INV07-S11,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,12,T01-INV07-S12,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,13,T01-INV07-S13,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,14,T01-INV07-S14,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,15,T01-INV07-S15,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,16,T01-INV07-S16,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
